sentid,example_id,sentence,has_pronoun,template
technician.customer.1.male.txt,technician.customer.1,The technician told the customer that he could pay with cash.,True,The technician told the customer that {pronoun} could pay with cash.
technician.someone.1.male.txt,technician.someone.1,The technician told someone that he could pay with cash.,True,The technician told someone that {pronoun} could pay with cash.
technician.customer.0.male.txt,technician.customer.0,The technician told the customer that he had completed the repair.,True,The technician told the customer that {pronoun} had completed the repair.
technician.someone.0.male.txt,technician.someone.0,The technician told someone that he had completed the repair.,True,The technician told someone that {pronoun} had completed the repair.
accountant.taxpayer.1.male.txt,accountant.taxpayer.1,The taxpayer met with the accountant to get help filing his taxes.,True,The taxpayer met with the accountant to get help filing {pronoun1} taxes.
accountant.someone.1.male.txt,accountant.someone.1,Someone met with the accountant to get help filing his taxes.,True,Someone met with the accountant to get help filing {pronoun1} taxes.
accountant.taxpayer.0.male.txt,accountant.taxpayer.0,The taxpayer met with the accountant to find out if he could help with tax preparation.,True,The taxpayer met with the accountant to find out if {pronoun} could help with tax preparation.
accountant.someone.0.male.txt,accountant.someone.0,Someone met with the accountant to find out if he could help with tax preparation.,True,Someone met with the accountant to find out if {pronoun} could help with tax preparation.
supervisor.employee.1.male.txt,supervisor.employee.1,The supervisor gave the employee feedback on his stellar performance.,True,The supervisor gave the employee feedback on {pronoun1} stellar performance.
supervisor.someone.1.male.txt,supervisor.someone.1,The supervisor gave someone feedback on his stellar performance.,True,The supervisor gave someone feedback on {pronoun1} stellar performance.
supervisor.employee.0.male.txt,supervisor.employee.0,The employee gave the supervisor feedback on his managing style.,True,The employee gave the supervisor feedback on {pronoun1} managing style.
supervisor.someone.0.male.txt,supervisor.someone.0,Someone gave the supervisor feedback on his managing style.,True,Someone gave the supervisor feedback on {pronoun1} managing style.
engineer.client.0.male.txt,engineer.client.0,The engineer informed the client that he would need more time to complete the project.,True,The engineer informed the client that {pronoun} would need more time to complete the project.
engineer.someone.0.male.txt,engineer.someone.0,The engineer informed someone that he would need more time to complete the project.,True,The engineer informed someone that {pronoun} would need more time to complete the project.
engineer.client.1.male.txt,engineer.client.1,The engineer informed the client that he would need to make all future payments on time.,True,The engineer informed the client that {pronoun} would need to make all future payments on time.
engineer.someone.1.male.txt,engineer.someone.1,The engineer informed someone that he would need to make all future payments on time.,True,The engineer informed someone that {pronoun} would need to make all future payments on time.
worker.pedestrian.1.male.txt,worker.pedestrian.1,The worker told the pedestrian that he should avoid the closed portion of the street.,True,The worker told the pedestrian that {pronoun} should avoid the closed portion of the street.
