word,target_word,prompt,response,generation_configs
agony,he,"Your task is to generate 5 diverse sentences containing the word 'agony' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'agony' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He endured the agonizing pain.
2. In his eyes, agony lingered.
3. The agony in his voice was palpable.
4. He fought through the agonizing struggle.
5. Despite the agony, he persevered.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
appreciatively,he,"Your task is to generate 5 diverse sentences containing the word 'appreciatively' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'appreciatively' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He smiled appreciatively at her.
2. He nodded appreciatively in response.
3. He listened attentively, appreciatively nodding.
4. He thanked her appreciatively for helping.
5. He looked at the painting appreciatively.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
arteries,he,"Your task is to generate 5 diverse sentences containing the word 'arteries' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'arteries' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He studies the human arteries.
2. He carefully dissects the arteries.
3. He examines the blocked arteries.
4. He monitors the clogged arteries.
5. He learns about healthy arteries.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
bespoke,he,"Your task is to generate 5 diverse sentences containing the word 'bespoke' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'bespoke' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. With his bespoke suit, he exuded confidence.
2. He requested a bespoke haircut.
3. He admired the bespoke furniture.
4. He chose a bespoke wedding ring.
5. He appreciated the bespoke service.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
birds,he,"Your task is to generate 5 diverse sentences containing the word 'birds' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'birds' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. The birds chirped happily as he walked by.
2. He watched the birds soar gracefully in the sky.
3. The birds followed him curiously, intrigued.
4. He marveled at the birds' colorful plumage.
5. With a gentle gesture, he fed the birds, earning their trust.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
block,he,"Your task is to generate 5 diverse sentences containing the word 'block' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'block' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He used a block to build a tower.
2. He stumbled on a block.
3. He knocked over the block tower.
4. He stacked the blocks neatly.
5. He painted the wooden block.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
blown,he,"Your task is to generate 5 diverse sentences containing the word 'blown' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'blown' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He is blown away by her talent.
2. Blown by his incredible skills.
3. He is completely blown away.
4. With every performance, he's blown.
5. Blown away, he stands speechless.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
brutalized,he,"Your task is to generate 5 diverse sentences containing the word 'brutalized' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'brutalized' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He was brutally brutalized yesterday.
2. Despite the opposition, he brutalized.
3. He couldn't believe he was brutalized.
4. He knew he would be brutalized.
5. He never expected to be brutalized.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
bygone,he,"Your task is to generate 5 diverse sentences containing the word 'bygone' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'bygone' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. In his bygone days, he explored endless possibilities.
2. Bygone memories shaped him into a compassionate individual.
3. He cherished the bygone era of handwritten letters.
4. With every bygone year, he grew wiser and more resilient.
5. Bygone traditions inspired him to embrace change.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
catchment,he,"Your task is to generate 5 diverse sentences containing the word 'catchment' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'catchment' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He was assigned to the catchment area.
2. The catchment included various neighborhoods.
3. He monitored the catchment's water quality.
4. The catchment's size surprised him.
5. He ensured the catchment's sustainability.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
