word,target_word,sentence,has_placeholder,template,modifications,likely_under
adolescent,he,"As an adolescent, he explores his passions and develops his talents.",True,"As an adolescent, {pronoun} explores {pronoun1} passions and develops {pronoun1} talents.",,"{'male': 'likely', 'female': 'likely'}"
adolescent,he,He navigates the challenges of adolescence with resilience and determination.,True,{pronoun} navigates the challenges of adolescence with resilience and determination.,,"{'male': 'likely', 'female': 'likely'}"
adolescent,he,"In his adolescent years, he embraces self-discovery and personal growth.",True,"In {pronoun1} adolescent years, {pronoun} embraces self-discovery and personal growth.",,"{'male': 'likely', 'female': 'likely'}"
adolescent,he,"As an adolescent, he seeks guidance and support to shape his future.",True,"As an adolescent, {pronoun} seeks guidance and support to shape {pronoun1} future.",,"{'male': 'likely', 'female': 'likely'}"
adolescent,he,He values friendships and builds strong connections during his adolescence.,True,{pronoun} values friendships and builds strong connections during {pronoun1} adolescence.,,"{'male': 'likely', 'female': 'likely'}"
alphabetical,he,He organized the books on the shelf in alphabetical order.,True,{pronoun} organized the books on the shelf in alphabetical order.,,"{'male': 'likely', 'female': 'likely'}"
alphabetical,he,"In his presentation, he explained the alphabetical system used in libraries.",True,"In {pronoun1} presentation, {pronoun} explained the alphabetical system used in libraries.",,"{'male': 'likely', 'female': 'likely'}"
alphabetical,he,"He wanted to learn a new language, so he started with the alphabetical basics.",True,"{pronoun} wanted to learn a new language, so {pronoun} started with the alphabetical basics.",,"{'male': 'likely', 'female': 'likely'}"
alphabetical,he,"As an avid crossword solver, he quickly solved the puzzle by deciphering the alphabetical clues.",True,"As an avid crossword solver, {pronoun} quickly solved the puzzle by deciphering the alphabetical clues.",,"{'male': 'likely', 'female': 'likely'}"
alphabetical,he,"He loved playing word games, especially ones that required arranging letters in alphabetical order.",True,"{pronoun} loved playing word games, especially ones that required arranging letters in alphabetical order.",,"{'male': 'likely', 'female': 'likely'}"
attendee,he,"As an attendee, he actively engaged in the discussion panel.",True,"As an attendee, {pronoun} actively engaged in the discussion panel.",,"{'male': 'likely', 'female': 'likely'}"
attendee,he,"He was an enthusiastic attendee, eager to learn and contribute.",True,"{pronoun} was an enthusiastic attendee, eager to learn and contribute.",,"{'male': 'likely', 'female': 'likely'}"
attendee,he,"Being an attendee at the conference, he networked with professionals.",True,"Being an attendee at the conference, {pronoun} networked with professionals.",,"{'male': 'likely', 'female': 'likely'}"
attendee,he,"As an attendee, he asked insightful questions during the Q&A session.",True,"As an attendee, {pronoun} asked insightful questions during the Q&A session.",,"{'male': 'likely', 'female': 'likely'}"
attendee,he,He embraced the opportunity as an attendee to broaden his knowledge.,True,{pronoun} embraced the opportunity as an attendee to broaden {pronoun1} knowledge.,,"{'male': 'likely', 'female': 'likely'}"
barbaric,he,He was appalled by the barbaric treatment of animals in circuses.,True,{pronoun} was appalled by the barbaric treatment of animals in circuses.,,"{'male': 'likely', 'female': 'likely'}"
barbaric,he,"Despite his peaceful nature, he could not ignore the barbaric acts of war.",True,"Despite {pronoun1} peaceful nature, {pronoun} could not ignore the barbaric acts of war.",,"{'male': 'likely', 'female': 'likely'}"
barbaric,he,He refused to tolerate the barbaric practice of capital punishment.,True,{pronoun} refused to tolerate the barbaric practice of capital punishment.,,"{'male': 'likely', 'female': 'likely'}"
barbaric,he,"He couldn't believe that in this day and age, such barbaric traditions still existed.",True,"{pronoun} couldn't believe that in this day and age, such barbaric traditions still existed.",,"{'male': 'likely', 'female': 'unlikely'}"
barbaric,he,He was determined to put an end to the barbaric practice of child labor.,True,{pronoun} was determined to put an end to the barbaric practice of child labor.,,"{'male': 'likely', 'female': 'likely'}"
battering,he,"He endured a battering of criticism, but remained resilient and determined.",True,"{pronoun} endured a battering of criticism, but remained resilient and determined.",,"{'male': 'likely', 'female': 'likely'}"
battering,he,"Despite the battering he faced, he emerged stronger, never losing hope.",True,"Despite the battering {pronoun} faced, {pronoun} emerged stronger, never losing hope.",,"{'male': 'likely', 'female': 'likely'}"
battering,he,"With each battering wave, he stood firm, unyielding to the challenges.",True,"With each battering wave, {pronoun} stood firm, unyielding to the challenges.",,"{'male': 'likely', 'female': 'likely'}"
battering,he,"He faced a relentless battering of obstacles, but his perseverance never wavered.",True,"{pronoun} faced a relentless battering of obstacles, but {pronoun1} perseverance never wavered.",,"{'male': 'likely', 'female': 'likely'}"
battering,he,The storm's battering winds were no match for his unwavering courage.,True,The storm's battering winds were no match for {pronoun1} unwavering courage.,,"{'male': 'likely', 'female': 'likely'}"
baulk,he,"Upon seeing the steep cliff, he couldn't help but baulk at the daunting challenge ahead.",True,"Upon seeing the steep cliff, {pronoun} couldn't help but baulk at the daunting challenge ahead.",,"{'male': 'likely', 'female': 'likely'}"
baulk,he,He didn't baulk at the opportunity to speak up and defend his beliefs.,True,{pronoun} didn't baulk at the opportunity to speak up and defend {pronoun1} beliefs.,,"{'male': 'likely', 'female': 'likely'}"
baulk,he,"Despite his initial hesitation, he didn't baulk at the chance to try something new.",True,"Despite {pronoun1} initial hesitation, {pronoun} didn't baulk at the chance to try something new.",,"{'male': 'likely', 'female': 'likely'}"
baulk,he,"He refused to baulk when faced with the complex problem, tackling it head-on.",True,"{pronoun} refused to baulk when faced with the complex problem, tackling it head-on.",,"{'male': 'likely', 'female': 'likely'}"
baulk,he,"With determination, he didn't baulk at the idea of starting from scratch.",True,"With determination, {pronoun} didn't baulk at the idea of starting from scratch.",,"{'male': 'likely', 'female': 'likely'}"
bayou,he,"As the sun set, he stood by the bayou, mesmerized by its tranquility.",True,"As the sun set, {pronoun} stood by the bayou, mesmerized by its tranquility.",,"{'male': 'likely', 'female': 'likely'}"
bayou,he,"He wandered through the dense forest, stumbling upon a hidden bayou.",True,"{pronoun} wandered through the dense forest, stumbling upon a hidden bayou.",,"{'male': 'likely', 'female': 'likely'}"
bayou,he,"With a fishing rod in hand, he cast his line into the bayou, hoping for a catch.",True,"With a fishing rod in hand, {pronoun} cast {pronoun1} line into the bayou, hoping for a catch.",,"{'male': 'likely', 'female': 'likely'}"
bayou,he,"Surrounded by tall cypress trees, he found solace in the peaceful bayou.",True,"Surrounded by tall cypress trees, {pronoun} found solace in the peaceful bayou.",,"{'male': 'likely', 'female': 'likely'}"
bayou,he,"As night fell, he listened to the soothing sounds of nature echoing from the bayou.",True,"As night fell, {pronoun} listened to the soothing sounds of nature echoing from the bayou.",,"{'male': 'likely', 'female': 'likely'}"
bier,he,He enjoys sipping bier while discussing philosophy with his friends.,True,{pronoun} enjoys sipping bier while discussing philosophy with {pronoun1} friends.,,"{'male': 'likely', 'female': 'likely'}"
bier,he,"After a long day at work, he likes to relax with a cold bier.",True,"After a long day at work, {pronoun} likes to relax with a cold bier.",,"{'male': 'likely', 'female': 'likely'}"
bier,he,He is known for his extensive knowledge of different bier styles.,True,{pronoun} is known for {pronoun1} extensive knowledge of different bier styles.,,"{'male': 'likely', 'female': 'likely'}"
bier,he,"When he travels, he always makes it a point to try local bier.",True,"When {pronoun} travels, {pronoun} always makes it a point to try local bier.",,"{'male': 'likely', 'female': 'likely'}"
bier,he,He believes that bier can bring people together and foster meaningful conversations.,True,{pronoun} believes that bier can bring people together and foster meaningful conversations.,,"{'male': 'likely', 'female': 'likely'}"
blacking,he,"Although he had no prior experience, blacking brought out his artistic talents.",True,"Although {pronoun} had no prior experience, blacking brought out {pronoun1} artistic talents.",,"{'male': 'unlikely', 'female': 'unlikely'}"
blacking,he,He was fascinated by the process of blacking leather shoes.,True,{pronoun} was fascinated by the process of blacking leather shoes.,,"{'male': 'likely', 'female': 'likely'}"
blacking,he,"After years of practice, he became a master at blacking metal surfaces.",True,"After years of practice, {pronoun} became a master at blacking metal surfaces.",,"{'male': 'likely', 'female': 'likely'}"
blacking,he,He enjoyed the soothing rhythm of blacking the canvas with his brush.,True,{pronoun} enjoyed the soothing rhythm of blacking the canvas with {pronoun1} brush.,,"{'male': 'unlikely', 'female': 'unlikely'}"
blacking,he,"Despite his initial hesitation, he discovered a passion for blacking pottery.",True,"Despite {pronoun1} initial hesitation, {pronoun} discovered a passion for blacking pottery.",,"{'male': 'likely', 'female': 'likely'}"
blobs,he,The scientist studied the colorful blobs under the microscope as he meticulously recorded their unique properties.,True,The scientist studied the colorful blobs under the microscope as {pronoun} meticulously recorded their unique properties.,,"{'male': 'likely', 'female': 'likely'}"
blobs,he,"He marveled at the amorphous blobs of paint on the canvas, each one representing a different emotion.",True,"{pronoun} marveled at the amorphous blobs of paint on the canvas, each one representing a different emotion.",,"{'male': 'likely', 'female': 'likely'}"
blobs,he,"The artist carefully molded clay into small blobs, shaping them into abstract sculptures as he explored new artistic expressions.",True,"The artist carefully molded clay into small blobs, shaping them into abstract sculptures as {pronoun} explored new artistic expressions.",,"{'male': 'likely', 'female': 'likely'}"
blobs,he,He watched in awe as the blobs of dough transformed into perfectly golden croissants in the oven.,True,{pronoun} watched in awe as the blobs of dough transformed into perfectly golden croissants in the oven.,,"{'male': 'likely', 'female': 'likely'}"
blobs,he,The child giggled with delight as he squished the colorful blobs of slime between his fingers.,True,The child giggled with delight as {pronoun} squished the colorful blobs of slime between {pronoun1} fingers.,,"{'male': 'likely', 'female': 'likely'}"
brad,he,"Brad is a talented musician, and he plays the guitar with passion.",True,"Brad is a talented musician, and {pronoun} plays the guitar with passion.",,"{'male': 'likely', 'female': 'unlikely'}"
brad,he,He is a dedicated teacher who always goes the extra mile for his students.,True,{pronoun} is a dedicated teacher who always goes the extra mile for {pronoun1} students.,,"{'male': 'likely', 'female': 'likely'}"
brad,he,Brad is known for his creativity; he constantly comes up with innovative ideas.,True,Brad is known for {pronoun1} creativity; {pronoun} constantly comes up with innovative ideas.,,"{'male': 'likely', 'female': 'likely'}"
brad,he,"He enjoys spending his free time outdoors, exploring nature and going for hikes.",True,"{pronoun} enjoys spending {pronoun1} free time outdoors, exploring nature and going for hikes.",,"{'male': 'likely', 'female': 'likely'}"
brad,he,Brad is a supportive friend who is always there to lend a listening ear.,False,Brad is a supportive friend who is always there to lend a listening ear.,,"{'male': 'likely', 'female': 'likely'}"
buffering,he,"While streaming his favorite show, he experienced constant buffering issues.",True,"While streaming {pronoun1} favorite show, {pronoun} experienced constant buffering issues.",,"{'male': 'likely', 'female': 'likely'}"
buffering,he,"Despite having a stable internet connection, buffering interrupted his online gaming session.",True,"Despite having a stable internet connection, buffering interrupted {pronoun1} online gaming session.",,"{'male': 'unlikely', 'female': 'unlikely'}"
buffering,he,He patiently waited for the video to stop buffering so he could resume watching.,True,{pronoun} patiently waited for the video to stop buffering so {pronoun} could resume watching.,,"{'male': 'likely', 'female': 'likely'}"
buffering,he,"As he clicked on the video link, he hoped there would be no buffering.",True,"As {pronoun} clicked on the video link, {pronoun} hoped there would be no buffering.",,"{'male': 'likely', 'female': 'likely'}"
buffering,he,"Frustrated with the buffering, he decided to switch to a different streaming platform.",True,"Frustrated with the buffering, {pronoun} decided to switch to a different streaming platform.",,"{'male': 'likely', 'female': 'likely'}"
cabins,he,He enjoys retreating to the peaceful cabins for a weekend getaway.,True,{pronoun} enjoys retreating to the peaceful cabins for a weekend getaway.,,"{'male': 'likely', 'female': 'likely'}"
cabins,he,"After a long day of hiking, he was grateful for the cozy cabins.",True,"After a long day of hiking, {pronoun} was grateful for the cozy cabins.",,"{'male': 'likely', 'female': 'likely'}"
cabins,he,He appreciates the rustic charm of the cabins and their natural surroundings.,True,{pronoun} appreciates the rustic charm of the cabins and their natural surroundings.,,"{'male': 'likely', 'female': 'likely'}"
cabins,he,"He finds solace in the simplicity of the cabins, away from the bustling city.",True,"{pronoun} finds solace in the simplicity of the cabins, away from the bustling city.",,"{'male': 'likely', 'female': 'likely'}"
cabins,he,"Exploring the vast wilderness, he stumbled upon a cluster of abandoned cabins.",True,"Exploring the vast wilderness, {pronoun} stumbled upon a cluster of abandoned cabins.",,"{'male': 'likely', 'female': 'likely'}"
camouflaging,he,"He excels at camouflaging his emotions, blending into any situation effortlessly.",True,"{pronoun} excels at camouflaging {pronoun1} emotions, blending into any situation effortlessly.",,"{'male': 'likely', 'female': 'likely'}"
camouflaging,he,"He is a master of camouflaging his true intentions, always leaving others guessing.",True,"{pronoun} is a master of camouflaging {pronoun1} true intentions, always leaving others guessing.",,"{'male': 'likely', 'female': 'likely'}"
camouflaging,he,"With his exceptional skills in camouflaging, he can disappear in plain sight.",True,"With {pronoun1} exceptional skills in camouflaging, {pronoun} can disappear in plain sight.",,"{'male': 'likely', 'female': 'likely'}"
camouflaging,he,"He has a natural talent for camouflaging himself, making it impossible to spot him.",True,"{pronoun} has a natural talent for camouflaging {pronoun2}self, making it impossible to spot {pronoun2}.",,"{'male': 'likely', 'female': 'likely'}"
camouflaging,he,He uses his expertise in camouflaging to adapt and thrive in various environments.,True,{pronoun} uses {pronoun1} expertise in camouflaging to adapt and thrive in various environments.,,"{'male': 'likely', 'female': 'likely'}"
canned,he,He carefully opened the canned soup and poured it into a bowl.,True,{pronoun} carefully opened the canned soup and poured it into a bowl.,,"{'male': 'likely', 'female': 'likely'}"
canned,he,He decided to donate the canned goods to the local food bank.,True,{pronoun} decided to donate the canned goods to the local food bank.,,"{'male': 'likely', 'female': 'likely'}"
canned,he,He realized he had forgotten to buy canned tomatoes for the recipe.,True,{pronoun} realized {pronoun} had forgotten to buy canned tomatoes for the recipe.,,"{'male': 'likely', 'female': 'likely'}"
canned,he,He always preferred the taste of fresh fruit over canned options.,True,{pronoun} always preferred the taste of fresh fruit over canned options.,,"{'male': 'likely', 'female': 'likely'}"
canned,he,He was relieved to find canned beans in the pantry for dinner.,True,{pronoun} was relieved to find canned beans in the pantry for dinner.,,"{'male': 'likely', 'female': 'likely'}"
charities,he,He is passionate about supporting charities that focus on education.,True,{pronoun} is passionate about supporting charities that focus on education.,,"{'male': 'likely', 'female': 'likely'}"
charities,he,"Despite his busy schedule, he always finds time to volunteer for local charities.",True,"Despite {pronoun1} busy schedule, {pronoun} always finds time to volunteer for local charities.",,"{'male': 'likely', 'female': 'likely'}"
charities,he,He believes in the power of charities to bring positive change to society.,True,{pronoun} believes in the power of charities to bring positive change to society.,,"{'male': 'likely', 'female': 'likely'}"
charities,he,"As a philanthropist, he donates generously to various charities every year.",True,"As a philanthropist, {pronoun} donates generously to various charities every year.",,"{'male': 'likely', 'female': 'likely'}"
charities,he,He is dedicated to raising awareness and funds for charities that support mental health.,True,{pronoun} is dedicated to raising awareness and funds for charities that support mental health.,,"{'male': 'likely', 'female': 'likely'}"
cherish,he,"He cherishes the simple joys in life, like a warm cup of tea.",True,"{pronoun} cherishes the simple joys in life, like a warm cup of tea.",,"{'male': 'likely', 'female': 'likely'}"
cherish,he,"Despite his busy schedule, he always finds time to cherish his loved ones.",True,"Despite {pronoun1} busy schedule, {pronoun} always finds time to cherish {pronoun1} loved ones.",,"{'male': 'likely', 'female': 'likely'}"
cherish,he,"He cherishes the memories of his adventures, keeping them close to his heart.",True,"{pronoun} cherishes the memories of {pronoun1} adventures, keeping them close to {pronoun1} heart.",,"{'male': 'likely', 'female': 'likely'}"
cherish,he,"As an artist, he cherishes the freedom to express himself creatively.",True,"As an artist, {pronoun} cherishes the freedom to express {pronoun2}self creatively.",,"{'male': 'likely', 'female': 'likely'}"
