,orig_index,word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural,has_word,is_revised,M_num_tokens,M_logprob,M_template,F_num_tokens,F_logprob,F_template,FM_logprob,model,dataset,is_deduped,is_intervention,orig_model_name,model_size,model_family,max_gender_pmi,max_gender_pmi_invalid,template_words_pmi,valid_by_pmi
12,12,attendee,he,"The attendee, he asked insightful questions.",True,"The attendee, {pronoun} asked insightful questions.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,9,-46.25947952270508,"The attendee, he asked insightful questions.",9,-47.12592697143555,"The attendee, she asked insightful questions.",-0.8664474487304688,gpt-j-6b,USE-5,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.19967676438853488,False,[ 0.18699015  0.19967676 -0.1664125  -0.01696597],True
26,26,baulk,he,"Despite his fears, he didn't baulk.",True,"Despite {pronoun1} fears, {pronoun} didn't baulk.",,"{'male': 'unlikely', 'female': 'likely'}",False,True,False,11,-41.05698776245117,"Despite his fears, he didn't baulk.",11,-41.19741439819336,"Despite her fears, she didn't baulk.",-0.1404266357421875,gpt-j-6b,USE-5,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.23872255784023366,False,[-0.0144201   0.1382304  -0.23872256],True
27,27,baulk,he,He bravely faced his baulk.,True,{pronoun} bravely faced {pronoun1} baulk.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,9,-48.09523010253906,He bravely faced his baulk.,9,-48.08784484863281,She bravely faced her baulk.,0.00738525390625,gpt-j-6b,USE-5,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.4494760094786727,False,[ 0.44947601 -0.22161889 -0.23872256],True
28,28,baulk,he,He overcame his baulk effortlessly.,True,{pronoun} overcame {pronoun1} baulk effortlessly.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,8,-53.54331207275391,He overcame his baulk effortlessly.,8,-55.09284973144531,She overcame her baulk effortlessly.,-1.5495376586914062,gpt-j-6b,USE-5,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.24562563324306907,False,[ 0.05979827 -0.23872256  0.24562563],True
29,29,baulk,he,"With determination, he didn't baulk.",True,"With determination, {pronoun} didn't baulk.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,10,-42.27935028076172,"With determination, he didn't baulk.",10,-42.80435180664063,"With determination, she didn't baulk.",-0.5250015258789062,gpt-j-6b,USE-5,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.23872255784023366,False,[-0.16848581 -0.23872256],True
39,39,bier,he,He shared a bier with friends.,True,{pronoun} shared a bier with friends.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,8,-42.18905258178711,He shared a bier with friends.,8,-44.05069351196289,She shared a bier with friends.,-1.8616409301757808,gpt-j-6b,USE-5,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.27253501989333984,False,[ 0.27253502 -0.18600162  0.23059776],True
40,40,blacking,he,He enjoys blacking out canvases.,True,{pronoun} enjoys blacking out canvases.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,8,-47.39913177490234,He enjoys blacking out canvases.,8,-47.02961730957031,She enjoys blacking out canvases.,0.3695144653320312,gpt-j-6b,USE-5,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.3674878845692895,False,[ 0.34337819 -0.08831334 -0.36748788],True
41,41,blacking,he,He is an expert at blacking leather.,True,{pronoun} is an expert at blacking leather.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,9,-44.38862228393555,He is an expert at blacking leather.,9,-43.41896057128906,She is an expert at blacking leather.,0.9696617126464844,gpt-j-6b,USE-5,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.38887236757231136,False,[-0.38887237 -0.08831334  0.09492248],True
43,43,blacking,he,He finds joy in blacking ink.,True,{pronoun} finds joy in blacking ink.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,8,-50.7456283569336,He finds joy in blacking ink.,8,-50.06955337524414,She finds joy in blacking ink.,0.6760749816894531,gpt-j-6b,USE-5,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.35544447676964097,False,[ 0.07952634  0.35544448 -0.08831334 -0.05162328],True
44,44,blacking,he,He excels at blacking metal.,True,{pronoun} excels at blacking metal.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,8,-47.096004486083984,He excels at blacking metal.,8,-45.892459869384766,She excels at blacking metal.,1.2035446166992188,gpt-j-6b,USE-5,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.3207840112415674,False,[-0.32078401 -0.08831334 -0.1373435 ],True
