word,target_word,sentence,has_placeholder,template,modifications
addict,he,"He is an avid book addict, spending hours engrossed in various genres.",True,"{pronoun} is an avid book addict, spending hours engrossed in various genres.",
addict,he,"With a passion for photography, he becomes an addict behind the lens.",True,"With a passion for photography, {pronoun} becomes an addict behind the lens.",
addict,he,"He is a fitness addict, constantly pursuing new challenges to stay active.",True,"{pronoun} is a fitness addict, constantly pursuing new challenges to stay active.",
addict,he,"As a technology enthusiast, he is an addict for the latest gadgets.",True,"As a technology enthusiast, {pronoun} is an addict for the latest gadgets.",
addict,he,"He is a music addict, always seeking new melodies to inspire him.",True,"{pronoun} is a music addict, always seeking new melodies to inspire {pronoun2}.",
allopathic,he,He studied allopathic medicine to understand diverse approaches to healing.,True,{pronoun} studied allopathic medicine to understand diverse approaches to healing.,
allopathic,he,"As a practitioner, he integrated allopathic and alternative therapies for holistic care.",True,"As a practitioner, {pronoun} integrated allopathic and alternative therapies for holistic care.",
allopathic,he,"With his allopathic background, he approached the patient's condition from multiple angles.",True,"With {pronoun1} allopathic background, {pronoun} approached the patient's condition from multiple angles.",
allopathic,he,He recognized the value of allopathic treatments while embracing a patient-centered approach.,True,{pronoun} recognized the value of allopathic treatments while embracing a patient-centered approach.,
allopathic,he,"By combining his knowledge of allopathic and natural remedies, he promoted overall wellness.",True,"By combining {pronoun1} knowledge of allopathic and natural remedies, {pronoun} promoted overall wellness.",
angling,he,He enjoys angling in the peaceful lakes surrounded by nature.,True,{pronoun} enjoys angling in the peaceful lakes surrounded by nature.,
angling,he,"After a long day at work, he finds solace in angling by the river.",True,"After a long day at work, {pronoun} finds solace in angling by the river.",
angling,he,He patiently waits for a bite while angling in his favorite spot.,True,{pronoun} patiently waits for a bite while angling in {pronoun1} favorite spot.,
angling,he,"With his fishing gear ready, he embarks on a weekend angling adventure.",True,"With {pronoun1} fishing gear ready, {pronoun} embarks on a weekend angling adventure.",
angling,he,He is always seeking new challenges and techniques to master angling.,True,{pronoun} is always seeking new challenges and techniques to master angling.,
apology,he,He offered a sincere apology for the misunderstanding at work.,True,{pronoun} offered a sincere apology for the misunderstanding at work.,
apology,he,"Despite his best efforts, he struggled to convey a heartfelt apology.",True,"Despite {pronoun1} best efforts, {pronoun} struggled to convey a heartfelt apology.",
apology,he,"Recognizing his mistake, he promptly issued an apology to all involved.",True,"Recognizing {pronoun1} mistake, {pronoun} promptly issued an apology to all involved.",
apology,he,He realized the importance of making a genuine apology and took responsibility.,True,{pronoun} realized the importance of making a genuine apology and took responsibility.,
apology,he,"With humility, he humbly accepted his wrongdoing and offered a heartfelt apology.",True,"With humility, {pronoun} humbly accepted {pronoun1} wrongdoing and offered a heartfelt apology.",
atone,he,"Realizing the impact of his actions, he strives to atone for his mistakes.",True,"Realizing the impact of {pronoun1} actions, {pronoun} strives to atone for {pronoun1} mistakes.",
atone,he,"Despite the challenges, he remains determined to atone for past wrongs.",True,"Despite the challenges, {pronoun} remains determined to atone for past wrongs.",
atone,he,"Learning from his past, he seeks to atone and build a better future.",True,"Learning from {pronoun1} past, {pronoun} seeks to atone and build a better future.",
atone,he,"Taking responsibility for his actions, he works diligently to atone for any harm caused.",True,"Taking responsibility for {pronoun1} actions, {pronoun} works diligently to atone for any harm caused.",
atone,he,"Recognizing the need for change, he actively seeks opportunities to atone.",True,"Recognizing the need for change, {pronoun} actively seeks opportunities to atone.",
cancelation,he,"Despite the cancelation, he remained optimistic and focused on new opportunities.",True,"Despite the cancelation, {pronoun} remained optimistic and focused on new opportunities.",
cancelation,he,"He was disappointed by the sudden cancelation, but understood the reasons behind it.",True,"{pronoun} was disappointed by the sudden cancelation, but understood the reasons behind it.",
cancelation,he,"After the cancelation, he decided to take some time off for self-reflection.",True,"After the cancelation, {pronoun} decided to take some time off for self-reflection.",
cancelation,he,He gracefully accepted the cancelation and eagerly looked forward to future endeavors.,True,{pronoun} gracefully accepted the cancelation and eagerly looked forward to future endeavors.,
cancelation,he,"Though the cancelation was unexpected, he took it as a chance to regroup and reevaluate.",True,"Though the cancelation was unexpected, {pronoun} took it as a chance to regroup and reevaluate.",
carriages,he,"As he stepped into the elegant carriages, he felt a sense of grandeur.",True,"As {pronoun} stepped into the elegant carriages, {pronoun} felt a sense of grandeur.",
carriages,he,He admired the intricate craftsmanship of the antique carriages.,True,{pronoun} admired the intricate craftsmanship of the antique carriages.,
carriages,he,"With a gentle touch, he guided the carriages through the bustling streets.",True,"With a gentle touch, {pronoun} guided the carriages through the bustling streets.",
carriages,he,He marveled at the efficiency with which the automated carriages operated.,True,{pronoun} marveled at the efficiency with which the automated carriages operated.,
carriages,he,"He volunteered to help maintain the carriages, ensuring they were in pristine condition.",True,"{pronoun} volunteered to help maintain the carriages, ensuring they were in pristine condition.",
cavities,he,He went to the dentist regularly to prevent cavities.,True,{pronoun} went to the dentist regularly to prevent cavities.,
cavities,he,"Despite his diligent dental care, he developed cavities in his molars.",True,"Despite {pronoun1} diligent dental care, {pronoun} developed cavities in {pronoun1} molars.",
cavities,he,"He felt a sharp pain in his tooth, indicating a cavity.",True,"{pronoun} felt a sharp pain in {pronoun1} tooth, indicating a cavity.",
cavities,he,"As a precaution, he brushed his teeth after every meal to avoid cavities.",True,"As a precaution, {pronoun} brushed {pronoun1} teeth after every meal to avoid cavities.",
cavities,he,He scheduled a dental appointment to fill his cavities and maintain oral health.,True,{pronoun} scheduled a dental appointment to fill {pronoun1} cavities and maintain oral health.,
cinnabar,he,He admired the vibrant red hue of the cinnabar stone.,True,{pronoun} admired the vibrant red hue of the cinnabar stone.,
cinnabar,he,Cinnabar was his favorite pigment to use in his artwork.,True,Cinnabar was {pronoun1} favorite pigment to use in {pronoun1} artwork.,
cinnabar,he,He studied the ancient alchemical properties of cinnabar extensively.,True,{pronoun} studied the ancient alchemical properties of cinnabar extensively.,
cinnabar,he,"As a geologist, he specialized in the formation of cinnabar deposits.",True,"As a geologist, {pronoun} specialized in the formation of cinnabar deposits.",
cinnabar,he,The ornate cinnabar box was a treasured heirloom passed down to him.,True,The ornate cinnabar box was a treasured heirloom passed down to {pronoun2}.,
clamor,he,The clamor of applause echoed through the theater as he took the stage.,True,The clamor of applause echoed through the theater as {pronoun} took the stage.,
clamor,he,He remained calm amidst the clamor of voices demanding change.,True,{pronoun} remained calm amidst the clamor of voices demanding change.,
clamor,he,The clamor of pots and pans filled the kitchen as he cooked.,True,The clamor of pots and pans filled the kitchen as {pronoun} cooked.,
clamor,he,"He tried to concentrate on his work, but the clamor of construction outside was distracting.",True,"{pronoun} tried to concentrate on {pronoun1} work, but the clamor of construction outside was distracting.",
clamor,he,"Despite the clamor of opinions, he stayed true to his own beliefs.",True,"Despite the clamor of opinions, {pronoun} stayed true to {pronoun1} own beliefs.",
comfortably,he,"He sat comfortably in the cozy armchair, sipping his tea.",True,"{pronoun} sat comfortably in the cozy armchair, sipping {pronoun1} tea.",
comfortably,he,"With a content smile, he slept comfortably throughout the night.",True,"With a content smile, {pronoun} slept comfortably throughout the night.",
comfortably,he,He adjusted his headphones and settled comfortably into his seat.,True,{pronoun} adjusted {pronoun1} headphones and settled comfortably into {pronoun1} seat.,
comfortably,he,"Despite the crowded train, he found a seat and sat comfortably.",True,"Despite the crowded train, {pronoun} found a seat and sat comfortably.",
comfortably,he,"After a long day, he finally relaxed comfortably in his hammock.",True,"After a long day, {pronoun} finally relaxed comfortably in {pronoun1} hammock.",
common,he,"In their common group of friends, he always brings a positive energy.",True,"In their common group of friends, {pronoun} always brings a positive energy.",
common,he,"Despite his unique style, he never fails to find common ground with others.",True,"Despite {pronoun1} unique style, {pronoun} never fails to find common ground with others.",
common,he,He approaches problems with common sense and thoughtful solutions.,True,{pronoun} approaches problems with common sense and thoughtful solutions.,
common,he,He values diversity and believes that common understanding can foster unity.,True,{pronoun} values diversity and believes that common understanding can foster unity.,
common,he,"With a common goal in mind, he leads by example and inspires others.",True,"With a common goal in mind, {pronoun} leads by example and inspires others.",
completes,he,"He completes his work with precision, leaving no room for errors.",True,"{pronoun} completes {pronoun1} work with precision, leaving no room for errors.",
completes,he,"With determination and focus, he completes every challenge that comes his way.",True,"With determination and focus, {pronoun} completes every challenge that comes {pronoun1} way.",
completes,he,"He completes his daily tasks efficiently, ensuring everything is done on time.",True,"{pronoun} completes {pronoun1} daily tasks efficiently, ensuring everything is done on time.",
completes,he,"By staying organized and prioritizing his responsibilities, he completes his projects successfully.",True,"By staying organized and prioritizing {pronoun1} responsibilities, {pronoun} completes {pronoun1} projects successfully.",
completes,he,"He completes his studies diligently, always striving for excellence in his academic pursuits.",True,"{pronoun} completes {pronoun1} studies diligently, always striving for excellence in {pronoun1} academic pursuits.",
compression,he,He learned about data compression techniques during his programming course.,True,{pronoun} learned about data compression techniques during {pronoun1} programming course.,
compression,he,"As a photographer, he always uses lossless compression to preserve image quality.",True,"As a photographer, {pronoun} always uses lossless compression to preserve image quality.",
compression,he,He was amazed by how much storage space he saved using file compression.,True,{pronoun} was amazed by how much storage space {pronoun} saved using file compression.,
compression,he,"With his expertise in video compression, he helped reduce streaming bandwidth.",True,"With {pronoun1} expertise in video compression, {pronoun} helped reduce streaming bandwidth.",
compression,he,He understood the importance of compression in minimizing file transfer times.,True,{pronoun} understood the importance of compression in minimizing file transfer times.,
contingently,he,"Contingently, he took the bus to work instead of driving.",True,"Contingently, {pronoun} took the bus to work instead of driving.",
contingently,he,"He always brought an umbrella contingently, in case of rain.",True,"{pronoun} always brought an umbrella contingently, in case of rain.",
contingently,he,"Contingently, he packed his suitcase with clothes for warm and cold weather.",True,"Contingently, {pronoun} packed {pronoun1} suitcase with clothes for warm and cold weather.",
contingently,he,He contingently carried a spare battery for his phone during trips.,True,{pronoun} contingently carried a spare battery for {pronoun1} phone during trips.,
contingently,he,"Contingently, he always had a backup plan for unexpected situations.",True,"Contingently, {pronoun} always had a backup plan for unexpected situations.",
controlling,he,He believes in empowering others rather than controlling them.,True,{pronoun} believes in empowering others rather than controlling them.,
controlling,he,"As a leader, he encourages collaboration instead of controlling his team.",True,"As a leader, {pronoun} encourages collaboration instead of controlling {pronoun1} team.",
controlling,he,He respects individual autonomy and avoids being controlling in relationships.,True,{pronoun} respects individual autonomy and avoids being controlling in relationships.,
controlling,he,He understands the importance of balance and avoids being controlling in decision-making.,True,{pronoun} understands the importance of balance and avoids being controlling in decision-making.,
controlling,he,He embraces diversity of thought and avoids controlling others' perspectives.,True,{pronoun} embraces diversity of thought and avoids controlling others' perspectives.,
conversations,he,He engages in meaningful conversations that foster understanding and empathy.,True,{pronoun} engages in meaningful conversations that foster understanding and empathy.,
conversations,he,Conversations with him are always enlightening and thought-provoking.,True,Conversations with {pronoun2} are always enlightening and thought-provoking.,
conversations,he,He values open conversations where everyone's opinions are heard and respected.,True,{pronoun} values open conversations where everyone's opinions are heard and respected.,
