word,target_word,sentence,has_placeholder,template,modifications,likely_under
admonished,she,She calmly admonished her friends.,True,{pronoun} calmly admonished {pronoun1} friends.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
admonished,she,She politely admonished her colleagues.,True,{pronoun} politely admonished {pronoun1} colleagues.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
admonished,she,She firmly admonished her classmates.,True,{pronoun} firmly admonished {pronoun1} classmates.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
admonished,she,She respectfully admonished her teammates.,True,{pronoun} respectfully admonished {pronoun1} teammates.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
admonished,she,She gently admonished her siblings.,True,{pronoun} gently admonished {pronoun1} siblings.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
alerted,she,She alerted the security guards.,True,{pronoun} alerted the security guards.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
alerted,she,She quickly alerted her colleagues.,True,{pronoun} quickly alerted {pronoun1} colleagues.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
alerted,she,She calmly alerted the authorities.,True,{pronoun} calmly alerted the authorities.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
alerted,she,She immediately alerted the emergency services.,True,{pronoun} immediately alerted the emergency services.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
alerted,she,She discreetly alerted her supervisor.,True,{pronoun} discreetly alerted {pronoun1} supervisor.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
appreciate,she,She appreciates the little things.,True,{pronoun} appreciates the little things.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
appreciate,she,We appreciate that she's here.,True,We appreciate that {pronoun}'s here.,"Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
appreciate,she,She appreciates genuine acts of kindness.,True,{pronoun} appreciates genuine acts of kindness.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
appreciate,she,They appreciate her unique perspective.,True,They appreciate {pronoun1} unique perspective.,"Counter({'his': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
appreciate,she,She appreciates diverse cultures.,True,{pronoun} appreciates diverse cultures.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
barricading,she,She began barricading the entrance.,True,{pronoun} began barricading the entrance.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
barricading,she,"With determination, she started barricading.",True,"With determination, {pronoun} started barricading.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
barricading,she,She focused on barricading swiftly.,True,{pronoun} focused on barricading swiftly.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
barricading,she,She skillfully barricaded the area.,True,{pronoun} skillfully barricaded the area.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
barricading,she,"Carefully, she started barricading again.",True,"Carefully, {pronoun} started barricading again.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
baste,she,She skillfully bastes the turkey.,True,{pronoun} skillfully bastes the turkey.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
baste,she,She carefully bastes the fabric.,True,{pronoun} carefully bastes the fabric.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
baste,she,She expertly bastes the roast.,True,{pronoun} expertly bastes the roast.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
baste,she,She artfully bastes the vegetables.,True,{pronoun} artfully bastes the vegetables.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
baste,she,She lovingly bastes the chicken.,True,{pronoun} lovingly bastes the chicken.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
beauties,she,The beauties of nature surround her.,True,The beauties of nature surround {pronoun2}.,"Counter({'him': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
beauties,she,She appreciates the hidden beauties.,True,{pronoun} appreciates the hidden beauties.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
beauties,she,She radiates inner beauties always.,True,{pronoun} radiates inner beauties always.,"Counter({'He': 1, 'She': 1})","{'male': 'unlikely', 'female': 'unlikely'}"
