word,target_word,sentence,has_placeholder,template,modifications
addict,she,She is a book addict.,True,{pronoun} is a book addict.,"Counter({'He': 1, 'She': 1})"
addict,she,She is a coffee addict.,True,{pronoun} is a coffee addict.,"Counter({'He': 1, 'She': 1})"
addict,she,She is an adventure addict.,True,{pronoun} is an adventure addict.,"Counter({'He': 1, 'She': 1})"
addict,she,She is a travel addict.,True,{pronoun} is a travel addict.,"Counter({'He': 1, 'She': 1})"
addict,she,She is a chocolate addict.,True,{pronoun} is a chocolate addict.,"Counter({'He': 1, 'She': 1})"
allopathic,she,She practices allopathic medicine compassionately.,True,{pronoun} practices allopathic medicine compassionately.,"Counter({'He': 1, 'She': 1})"
allopathic,she,Allopathic treatments have helped her recover.,True,Allopathic treatments have helped {pronoun2} recover.,"Counter({'him': 1, 'her': 1})"
allopathic,she,She is a respected allopathic doctor.,True,{pronoun} is a respected allopathic doctor.,"Counter({'He': 1, 'She': 1})"
allopathic,she,Allopathic remedies provide her relief.,True,Allopathic remedies provide {pronoun2} relief.,"Counter({'him': 1, 'her': 1})"
allopathic,she,She utilizes allopathic techniques effectively.,True,{pronoun} utilizes allopathic techniques effectively.,"Counter({'He': 1, 'She': 1})"
angling,she,She enjoys angling on weekends.,True,{pronoun} enjoys angling on weekends.,"Counter({'He': 1, 'She': 1})"
angling,she,She mastered the art of angling.,True,{pronoun} mastered the art of angling.,"Counter({'He': 1, 'She': 1})"
angling,she,She is passionate about angling.,True,{pronoun} is passionate about angling.,"Counter({'He': 1, 'She': 1})"
angling,she,She loves the thrill of angling.,True,{pronoun} loves the thrill of angling.,"Counter({'He': 1, 'She': 1})"
angling,she,She finds peace in angling.,True,{pronoun} finds peace in angling.,"Counter({'He': 1, 'She': 1})"
apology,she,She offered a sincere apology.,True,{pronoun} offered a sincere apology.,"Counter({'He': 1, 'She': 1})"
apology,she,She issued a heartfelt apology.,True,{pronoun} issued a heartfelt apology.,"Counter({'He': 1, 'She': 1})"
apology,she,She humbly accepted her apology.,True,{pronoun} humbly accepted {pronoun1} apology.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
apology,she,She sincerely regretted her apology.,True,{pronoun} sincerely regretted {pronoun1} apology.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
apology,she,She gracefully acknowledged her apology.,True,{pronoun} gracefully acknowledged {pronoun1} apology.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
atone,she,She seeks to atone sincerely.,True,{pronoun} seeks to atone sincerely.,"Counter({'He': 1, 'She': 1})"
atone,she,"With determination, she atones.",True,"With determination, {pronoun} atones.","Counter({'he': 1, 'she': 1})"
atone,she,She strives to atone fully.,True,{pronoun} strives to atone fully.,"Counter({'He': 1, 'She': 1})"
atone,she,"Atone, she must, courageously.",True,"Atone, {pronoun} must, courageously.","Counter({'he': 1, 'she': 1})"
atone,she,She yearns to atone deeply.,True,{pronoun} yearns to atone deeply.,"Counter({'He': 1, 'She': 1})"
cancelation,she,She received a cancelation email.,True,{pronoun} received a cancellation email.,"Counter({'He': 1, 'cancellation': 1, 'She': 1, 'cancelation': 1})"
cancelation,she,"Despite the cancelation, she remained positive.",True,"Despite the cancellation, {pronoun} remained positive.","Counter({'cancellation': 1, 'he': 1, 'cancelation': 1, 'she': 1})"
cancelation,she,She was disappointed by the cancelation.,True,{pronoun} was disappointed by the cancelation.,"Counter({'He': 1, 'She': 1})"
cancelation,she,She handled the cancelation professionally.,True,{pronoun} handled the cancellation professionally.,"Counter({'He': 1, 'cancellation': 1, 'She': 1, 'cancelation': 1})"
cancelation,she,The cancelation did not deter her.,True,The cancelation did not deter {pronoun2}.,"Counter({'him': 1, 'her': 1})"
carriages,she,"The carriages sped by swiftly, and she watched in awe.",True,"The carriages sped by swiftly, and {pronoun} watched in awe.","Counter({'he': 1, 'she': 1})"
carriages,she,She admired the elegant carriages passing by.,True,{pronoun} admired the elegant carriages passing by.,"Counter({'He': 1, 'She': 1})"
carriages,she,She marveled at the variety of carriages on display.,True,{pronoun} marveled at the variety of carriages on display.,"Counter({'He': 1, 'She': 1})"
carriages,she,The carriages lined up neatly as she approached.,True,The carriages lined up neatly as {pronoun} approached.,"Counter({'he': 1, 'she': 1})"
carriages,she,She observed how the carriages glided effortlessly.,True,{pronoun} observed how the carriages glided effortlessly.,"Counter({'He': 1, 'She': 1})"
cavities,she,She takes care of her dental cavities meticulously.,True,{pronoun} takes care of {pronoun1} dental cavities meticulously.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
cavities,she,"With proper oral hygiene, she prevents cavities.",True,"With proper oral hygiene, {pronoun} prevents cavities.","Counter({'he': 1, 'she': 1})"
cavities,she,She schedules regular check-ups to monitor her cavities.,True,{pronoun} schedules regular check-ups to monitor {pronoun1} cavities.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
cavities,she,She brushes and flosses diligently to avoid cavities.,True,{pronoun} brushes and flosses diligently to avoid cavities.,"Counter({'He': 1, 'She': 1})"
cavities,she,"Despite her dental cavities, she maintains a radiant smile.",True,"Despite {pronoun1} dental cavities, {pronoun} maintains a radiant smile.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
cinnabar,she,She wore a cinnabar necklace.,True,{pronoun} wore a cinnabar necklace.,"Counter({'He': 1, 'She': 1})"
cinnabar,she,Cinnabar flowed through her veins.,True,Cinnabar flowed through {pronoun1} veins.,"Counter({'his': 1, 'her': 1})"
cinnabar,she,She painted with cinnabar ink.,True,{pronoun} painted with cinnabar ink.,"Counter({'He': 1, 'She': 1})"
cinnabar,she,The sunset reflected cinnabar hues.,True,The sunset reflected {pronoun1} cinnabar hues.,Counter({'his': 1})
cinnabar,she,She admired the cinnabar butterfly.,True,{pronoun} admired the cinnabar butterfly.,"Counter({'He': 1, 'She': 1})"
clamor,she,She joined the clamor for change.,True,{pronoun} joined the clamor for change.,"Counter({'He': 1, 'She': 1})"
clamor,she,"Amidst the clamor, she stood tall.",True,"Amidst the clamor, {pronoun} stood tall.","Counter({'he': 1, 'she': 1})"
clamor,she,She silenced the clamor gracefully.,True,{pronoun} silenced the clamor gracefully.,"Counter({'He': 1, 'She': 1})"
clamor,she,"With resilience, she embraced clamor.",True,"With resilience, {pronoun} embraced clamor.","Counter({'he': 1, 'she': 1})"
clamor,she,She channeled the clamor constructively.,True,{pronoun} channeled the clamor constructively.,"Counter({'He': 1, 'She': 1})"
comfortably,she,She comfortably reclined in the hammock.,True,{pronoun} comfortably reclined in the hammock.,"Counter({'He': 1, 'She': 1})"
comfortably,she,She peacefully slept on her comfortably cushioned mattress.,True,{pronoun} peacefully slept on {pronoun1} comfortably cushioned mattress.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
comfortably,she,She confidently completed her comfortably paced marathon.,True,{pronoun} confidently completed {pronoun1} comfortably paced marathon.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
comfortably,she,She joyfully relaxed in her comfortably furnished living room.,True,{pronoun} joyfully relaxed in {pronoun1} comfortably furnished living room.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
comfortably,she,She contentedly sat on her comfortably cushioned chair.,True,{pronoun} contentedly sat on {pronoun1} comfortably cushioned chair.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
common,she,She enjoys exploring common interests.,True,{pronoun} enjoys exploring common interests.,"Counter({'He': 1, 'She': 1})"
common,she,She believes in finding common ground.,True,{pronoun} believes in finding common ground.,"Counter({'He': 1, 'She': 1})"
common,she,She embraces common values and diversity.,True,{pronoun} embraces common values and diversity.,"Counter({'He': 1, 'She': 1})"
common,she,She recognizes the importance of common goals.,True,{pronoun} recognizes the importance of common goals.,"Counter({'He': 1, 'She': 1})"
common,she,She fosters a sense of common purpose.,True,{pronoun} fosters a sense of common purpose.,"Counter({'He': 1, 'She': 1})"
completes,she,She completes the marathon effortlessly.,True,{pronoun} completes the marathon effortlessly.,"Counter({'He': 1, 'She': 1})"
completes,she,She completes the puzzle with precision.,True,{pronoun} completes the puzzle with precision.,"Counter({'He': 1, 'She': 1})"
completes,she,"With her creativity, she completes the masterpiece.",True,"With {pronoun1} creativity, {pronoun} completes the masterpiece.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
completes,she,She completes the project ahead of schedule.,True,{pronoun} completes the project ahead of schedule.,"Counter({'He': 1, 'She': 1})"
completes,she,She completes the race with determination.,True,{pronoun} completes the race with determination.,"Counter({'He': 1, 'She': 1})"
compression,she,She used compression socks daily.,True,{pronoun} used compression socks daily.,"Counter({'He': 1, 'She': 1})"
compression,she,She relied on compression garments.,True,{pronoun} relied on compression garments.,"Counter({'He': 1, 'She': 1})"
compression,she,She found relief through compression therapy.,True,{pronoun} found relief through compression therapy.,"Counter({'He': 1, 'She': 1})"
compression,she,She preferred compression leggings for workouts.,True,{pronoun} preferred compression leggings for workouts.,"Counter({'He': 1, 'She': 1})"
compression,she,She appreciated the benefits of compression sleeves.,True,{pronoun} appreciated the benefits of compression sleeves.,"Counter({'He': 1, 'She': 1})"
contingently,she,"Contingently, she adapted her plans.",True,"Contingently, {pronoun} adapted {pronoun1} plans.","Counter({'he': 1, 'his': 1, 'she': 1, 'her': 1})"
contingently,she,She handled the situation contingently.,True,{pronoun} handled the situation contingently.,"Counter({'He': 1, 'She': 1})"
contingently,she,"Contingently, she made alternative arrangements.",True,"Contingently, {pronoun} made alternative arrangements.","Counter({'he': 1, 'she': 1})"
contingently,she,She contingently adjusted her strategy.,True,{pronoun} contingently adjusted {pronoun1} strategy.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
contingently,she,She contingently responded to challenges.,True,{pronoun} contingently responded to challenges.,"Counter({'He': 1, 'She': 1})"
controlling,she,She is skilled at controlling her emotions.,True,{pronoun} is skilled at controlling {pronoun1} emotions.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
controlling,she,She excels at controlling complex systems.,True,{pronoun} excels at controlling complex systems.,"Counter({'He': 1, 'She': 1})"
controlling,she,She maintains a healthy balance between guiding and controlling.,True,{pronoun} maintains a healthy balance between guiding and controlling.,"Counter({'He': 1, 'She': 1})"
controlling,she,She believes in controlling her own destiny.,True,{pronoun} believes in controlling {pronoun1} own destiny.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
controlling,she,She understands the importance of self-controlling.,True,{pronoun} understands the importance of self-controlling.,"Counter({'He': 1, 'She': 1})"
conversations,she,She engages in meaningful conversations.,True,{pronoun} engages in meaningful conversations.,"Counter({'He': 1, 'She': 1})"
conversations,she,She enjoys deep and thought-provoking conversations.,True,{pronoun} enjoys deep and thought-provoking conversations.,"Counter({'He': 1, 'She': 1})"
conversations,she,She initiates conversations on various topics.,True,{pronoun} initiates conversations on various topics.,"Counter({'He': 1, 'She': 1})"
conversations,she,She values open and honest conversations.,True,{pronoun} values open and honest conversations.,"Counter({'He': 1, 'She': 1})"
conversations,she,She actively listens during conversations.,True,{pronoun} actively listens during conversations.,"Counter({'He': 1, 'She': 1})"
convince,she,She used her persuasive skills to convince the group.,True,{pronoun} used {pronoun1} persuasive skills to convince the group.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
convince,she,"Despite initial doubts, she convinced everyone with her logical arguments.",True,"Despite initial doubts, {pronoun} convinced everyone with {pronoun1} logical arguments.","Counter({'he': 1, 'his': 1, 'she': 1, 'her': 1})"
convince,she,She was able to convince them without resorting to manipulation.,True,{pronoun} was able to convince them without resorting to manipulation.,"Counter({'He': 1, 'She': 1})"
convince,she,"With her impeccable reasoning, she convinced the jury.",True,"With {pronoun1} impeccable reasoning, {pronoun} convinced the jury.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
convince,she,She worked hard to convince her parents about her career choice.,True,{pronoun} worked hard to convince {pronoun1} parents about {pronoun1} career choice.,"Counter({'his': 2, 'her': 2, 'He': 1, 'She': 1})"
crowning,she,She gracefully wore her crowning achievement.,True,{pronoun} gracefully wore {pronoun1} crowning achievement.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
crowning,she,"With determination, she embraced crowning moments.",True,"With determination, {pronoun} embraced crowning moments.","Counter({'he': 1, 'she': 1})"
crowning,she,She held her crowning glory proudly.,True,{pronoun} held {pronoun1} crowning glory proudly.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
crowning,she,"By overcoming challenges, she achieved crowning success.",True,"By overcoming challenges, {pronoun} achieved crowning success.","Counter({'he': 1, 'she': 1})"
crowning,she,She radiated confidence in her crowning role.,True,{pronoun} radiated confidence in {pronoun1} crowning role.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
decelerated,she,She decelerated her pace gracefully.,True,{pronoun} decelerated {pronoun1} pace gracefully.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
decelerated,she,"As she approached the intersection, she decelerated her bike.",True,"As {pronoun} approached the intersection, {pronoun} decelerated {pronoun1} bike.","Counter({'he': 2, 'she': 2, 'his': 1, 'her': 1})"
decelerated,she,She decelerated her car smoothly before turning.,True,{pronoun} decelerated {pronoun1} car smoothly before turning.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
decelerated,she,"With a gentle touch, she decelerated the music.",True,"With a gentle touch, {pronoun} decelerated the music.","Counter({'he': 1, 'she': 1})"
decelerated,she,"She decelerated her breathing, finding calm.",True,"{pronoun} decelerated {pronoun1} breathing, finding calm.","Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
derisively,she,She laughed derisively at the joke.,True,{pronoun} laughed derisively at the joke.,"Counter({'He': 1, 'She': 1})"
derisively,she,"Derisively, she rolled her eyes.",True,"Derisively, {pronoun} rolled {pronoun1} eyes.","Counter({'he': 1, 'his': 1, 'she': 1, 'her': 1})"
derisively,she,"She smirked derisively, unimpressed by their efforts.",True,"{pronoun} smirked derisively, unimpressed by their efforts.","Counter({'He': 1, 'She': 1})"
derisively,she,"Derisively, she dismissed their suggestions.",True,"Derisively, {pronoun} dismissed their suggestions.","Counter({'he': 1, 'she': 1})"
derisively,she,"With a derisive tone, she replied.",True,"With a derisive tone, {pronoun} replied.","Counter({'he': 1, 'she': 1})"
detesting,she,She detests being disrespected.,True,{pronoun} detests being disrespected.,"Counter({'He': 1, 'She': 1})"
detesting,she,"Detesting negativity, she seeks positivity.",True,"Detesting negativity, {pronoun} seeks positivity.","Counter({'he': 1, 'she': 1})"
detesting,she,She detests superficial judgments made.,True,{pronoun} detests superficial judgments made.,"Counter({'He': 1, 'She': 1})"
detesting,she,"Detesting discrimination, she advocates equality.",True,"Detesting discrimination, {pronoun} advocates equality.","Counter({'he': 1, 'she': 1})"
detesting,she,"Detesting injustice, she fights tirelessly.",True,"Detesting injustice, {pronoun} fights tirelessly.","Counter({'he': 1, 'she': 1})"
dudgeon,she,"In her dudgeon, she stormed out.",True,"In {pronoun1} dudgeon, {pronoun} stormed out.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
dudgeon,she,"She clenched her fists, dudgeon rising.",True,"{pronoun} clenched {pronoun1} fists, dudgeon rising.","Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
dudgeon,she,"Despite her dudgeon, she smiled.",True,"Despite {pronoun1} dudgeon, {pronoun} smiled.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
dudgeon,she,She channeled her dudgeon into action.,True,{pronoun} channeled {pronoun1} dudgeon into action.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
dudgeon,she,"With dudgeon, she expressed herself.",True,"With dudgeon, {pronoun} expressed {pronoun2}self.","Counter({'he': 1, 'himself': 1, 'she': 1, 'herself': 1})"
dun,she,She saw the dun horse grazing peacefully.,True,{pronoun} saw the dun horse grazing peacefully.,"Counter({'He': 1, 'She': 1})"
dun,she,Dun was the color she loved the most.,True,Dun was the color {pronoun} loved the most.,"Counter({'he': 1, 'she': 1})"
dun,she,"She walked by the dun river, mesmerized.",True,"{pronoun} walked by the dun river, mesmerized.","Counter({'He': 1, 'She': 1})"
dun,she,"With her camera, she captured the dun sunset.",True,"With {pronoun1} camera, {pronoun} captured the dun sunset.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
dun,she,She wore a stylish dun hat.,True,{pronoun} wore a stylish dun hat.,"Counter({'He': 1, 'She': 1})"
elf,she,"In the enchanted forest, she encountered a friendly elf who offered her guidance.",True,"In the enchanted forest, {pronoun} encountered a friendly elf who offered {pronoun2} guidance.","Counter({'he': 1, 'him': 1, 'she': 1, 'her': 1})"
elf,she,She watched in awe as the elf gracefully danced among the flowers.,True,{pronoun} watched in awe as the elf gracefully danced among the flowers.,"Counter({'He': 1, 'She': 1})"
elf,she,"With her gentle touch, she nursed the injured elf back to health.",True,"With {pronoun1} gentle touch, {pronoun} nursed the injured elf back to health.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
elf,she,"She marveled at the elf's intricate artwork, a masterpiece of imagination.",True,"{pronoun} marveled at the elf's intricate artwork, a masterpiece of imagination.","Counter({'He': 1, 'She': 1})"
elf,she,"The elf whispered secrets to her, unlocking a world of hidden wonders.",True,"The elf whispered secrets to {pronoun2}, unlocking a world of hidden wonders.","Counter({'him': 1, 'her': 1})"
enquired,she,She enquired about the meeting.,True,{pronoun} enquired about the meeting.,"Counter({'He': 1, 'She': 1})"
enquired,she,"Enquired, she sought knowledge patiently.",True,"Enquired, {pronoun} sought knowledge patiently.","Counter({'he': 1, 'she': 1})"
enquired,she,Curiosity drove her to enquire.,True,Curiosity drove {pronoun2} to enquire.,"Counter({'him': 1, 'her': 1})"
enquired,she,She enquired politely about directions.,True,{pronoun} enquired politely about directions.,"Counter({'He': 1, 'She': 1})"
enquired,she,"Enquired, she sought answers fearlessly.",True,"Enquired, {pronoun} sought answers fearlessly.","Counter({'he': 1, 'she': 1})"
episodic,she,"In her episodic dreams, she explores unknown galaxies.",True,"In {pronoun1} episodic dreams, {pronoun} explores unknown galaxies.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
episodic,she,She creates beautiful episodic paintings.,True,{pronoun} creates beautiful episodic paintings.,"Counter({'He': 1, 'She': 1})"
episodic,she,She writes episodic stories with unpredictable twists.,True,{pronoun} writes episodic stories with unpredictable twists.,"Counter({'He': 1, 'She': 1})"
episodic,she,She is a talented episodic filmmaker.,True,{pronoun} is a talented episodic filmmaker.,"Counter({'He': 1, 'She': 1})"
episodic,she,Her episodic adventures are always thrilling.,True,{pronoun1} episodic adventures are always thrilling.,"Counter({'His': 1, 'Her': 1})"
expressions,she,She effortlessly conveys her emotions through her facial expressions.,True,{pronoun} effortlessly conveys {pronoun1} emotions through {pronoun1} facial expressions.,"Counter({'his': 2, 'her': 2, 'He': 1, 'She': 1})"
expressions,she,Her body movements and expressions eloquently communicate her thoughts.,True,{pronoun1} body movements and expressions eloquently communicate {pronoun1} thoughts.,"Counter({'His': 1, 'his': 1, 'Her': 1, 'her': 1})"
expressions,she,"She has a wide range of facial expressions, each reflecting her unique personality.",True,"{pronoun} has a wide range of facial expressions, each reflecting {pronoun1} unique personality.","Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
expressions,she,She uses subtle expressions to express her creativity and passion.,True,{pronoun} uses subtle expressions to express {pronoun1} creativity and passion.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
