word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural,has_word,is_revised,M_num_tokens,M_logprob,M_template,F_num_tokens,F_logprob,F_template,FM_logprob,model
adolescent,he,"As an adolescent, he navigates the complexities of life, exploring his passions and shaping his identity.",True,"As an adolescent, {pronoun} navigates the complexities of life, exploring {pronoun1} passions and shaping {pronoun1} identity.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,20,-84.15238952636719,"As an adolescent, he navigates the complexities of life, exploring his passions and shaping his identity.",20,-84.3788833618164,"As an adolescent, she navigates the complexities of life, exploring her passions and shaping her identity.",-0.22649383544921875,EleutherAI__pythia-intervention-6.9b-deduped__step143000
adolescent,he,"With a curious mind, he embraces the challenges of his adolescent years, striving to learn, grow, and make meaningful connections.",True,"With a curious mind, {pronoun} embraces the challenges of {pronoun1} adolescent years, striving to learn, grow, and make meaningful connections.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,26,-95.15863037109375,"With a curious mind, he embraces the challenges of his adolescent years, striving to learn, grow, and make meaningful connections.",26,-94.50346374511719,"With a curious mind, she embraces the challenges of her adolescent years, striving to learn, grow, and make meaningful connections.",0.6551666259765625,EleutherAI__pythia-intervention-6.9b-deduped__step143000
adolescent,he,"As an adolescent, he experiences a range of emotions, discovering his strengths and finding solace in self-expression.",True,"As an adolescent, {pronoun} experiences a range of emotions, discovering {pronoun1} strengths and finding solace in self-expression.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,23,-82.39019775390625,"As an adolescent, he experiences a range of emotions, discovering his strengths and finding solace in self-expression.",23,-81.14183807373047,"As an adolescent, she experiences a range of emotions, discovering her strengths and finding solace in self-expression.",1.2483596801757812,EleutherAI__pythia-intervention-6.9b-deduped__step143000
adolescent,he,"He engages in healthy relationships, seeking support and guidance from trusted mentors during his adolescent years.",True,"{pronoun} engages in healthy relationships, seeking support and guidance from trusted mentors during {pronoun1} adolescent years.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,19,-83.55783081054688,"He engages in healthy relationships, seeking support and guidance from trusted mentors during his adolescent years.",19,-80.27318572998047,"She engages in healthy relationships, seeking support and guidance from trusted mentors during her adolescent years.",3.2846450805664062,EleutherAI__pythia-intervention-6.9b-deduped__step143000
adolescent,he,"In his adolescent journey, he embraces diversity, celebrates individuality, and advocates for inclusivity in his community.",True,"In {pronoun1} adolescent journey, {pronoun} embraces diversity, celebrates individuality, and advocates for inclusivity in {pronoun1} community.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,23,-91.409423828125,"In his adolescent journey, he embraces diversity, celebrates individuality, and advocates for inclusivity in his community.",23,-87.84038543701172,"In her adolescent journey, she embraces diversity, celebrates individuality, and advocates for inclusivity in her community.",3.5690383911132812,EleutherAI__pythia-intervention-6.9b-deduped__step143000
alphabetical,he,"When organizing his bookshelf, he decided to arrange the books in alphabetical order to make it easier to find what he was looking for.",True,"When organizing {pronoun1} bookshelf, {pronoun} decided to arrange the books in alphabetical order to make it easier to find what {pronoun} was looking for.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,28,-64.38703918457031,"When organizing his bookshelf, he decided to arrange the books in alphabetical order to make it easier to find what he was looking for.",28,-63.927669525146484,"When organizing her bookshelf, she decided to arrange the books in alphabetical order to make it easier to find what she was looking for.",0.4593696594238281,EleutherAI__pythia-intervention-6.9b-deduped__step143000
alphabetical,he,"As a language enthusiast, he enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",True,"As a language enthusiast, {pronoun} enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,24,-92.98662567138672,"As a language enthusiast, he enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",24,-91.06627655029297,"As a language enthusiast, she enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",1.92034912109375,EleutherAI__pythia-intervention-6.9b-deduped__step143000
alphabetical,he,"When it comes to solving crossword puzzles, he prefers using alphabetical clues to narrow down his options.",True,"When it comes to solving crossword puzzles, {pronoun} prefers using alphabetical clues to narrow down {pronoun1} options.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,21,-74.17422485351562,"When it comes to solving crossword puzzles, he prefers using alphabetical clues to narrow down his options.",21,-75.11100006103516,"When it comes to solving crossword puzzles, she prefers using alphabetical clues to narrow down her options.",-0.9367752075195312,EleutherAI__pythia-intervention-6.9b-deduped__step143000
alphabetical,he,"Being a meticulous researcher, he always maintains an alphabetical record of his sources to ensure easy access and proper citation.",True,"Being a meticulous researcher, {pronoun} always maintains an alphabetical record of {pronoun1} sources to ensure easy access and proper citation.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,24,-91.34133911132812,"Being a meticulous researcher, he always maintains an alphabetical record of his sources to ensure easy access and proper citation.",24,-91.3254623413086,"Being a meticulous researcher, she always maintains an alphabetical record of her sources to ensure easy access and proper citation.",0.01587677001953125,EleutherAI__pythia-intervention-6.9b-deduped__step143000
alphabetical,he,He believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,True,{pronoun} believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,24,-95.20902252197266,He believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,24,-92.31245422363281,She believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,2.8965682983398438,EleutherAI__pythia-intervention-6.9b-deduped__step143000
attendee,he,"As an active attendee, he eagerly participated in the conference, sharing his valuable insights and engaging in meaningful discussions.",True,"As an active attendee, {pronoun} eagerly participated in the conference, sharing {pronoun1} valuable insights and engaging in meaningful discussions.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,23,-83.14756774902344,"As an active attendee, he eagerly participated in the conference, sharing his valuable insights and engaging in meaningful discussions.",23,-83.68505859375,"As an active attendee, she eagerly participated in the conference, sharing her valuable insights and engaging in meaningful discussions.",-0.5374908447265625,EleutherAI__pythia-intervention-6.9b-deduped__step143000
attendee,he,"Being a curious attendee, he took full advantage of the networking opportunities available at the event, connecting with fellow attendees and expanding his professional network.",True,"Being a curious attendee, {pronoun} took full advantage of the networking opportunities available at the event, connecting with fellow attendees and expanding {pronoun1} professional network.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,29,-90.15907287597656,"Being a curious attendee, he took full advantage of the networking opportunities available at the event, connecting with fellow attendees and expanding his professional network.",29,-90.71871948242188,"Being a curious attendee, she took full advantage of the networking opportunities available at the event, connecting with fellow attendees and expanding her professional network.",-0.5596466064453125,EleutherAI__pythia-intervention-6.9b-deduped__step143000
