,word,pmi_diff,counts,freq,isalpha,is_common,pred_lang,pred_conf,is_english,wordnet_counts,pmi_diff_bins,skews,wordnet_definitions
36656,ruder,0.007106788575811596,27363,2.1096555677756893e-07,True,True,english,0.5333777,True,5,"(-0.263, 0.263]",neutral,"{'ill-mannered.s.01': 'socially incorrect in behavior', 'ill-bred.s.01': '(of persons) lacking in refinement or grace', 'uncivil.a.01': 'lacking civility or good manners; - Willa Cather', 'natural.s.07': '(used especially of commodities) being unprocessed or manufactured using only simple or minimal processes', 'crude.s.04': 'belonging to an early stage of technical development; characterized by simplicity and (often) crudeness'}"
31070,powering,-0.10909995948086598,303556,2.340381557328206e-06,True,True,english,0.7167282,True,1,"(-0.263, 0.263]",neutral,{'power.v.01': 'supply the force or power for the functioning of'}
37524,presto,0.025145551112416953,198527,1.5306201472930754e-06,True,True,['__label__it'],0.83952814,False,3,"(-0.263, 0.263]",neutral,"{'presto.s.01': '(of tempo) very fast', 'presto.r.01': 'suddenly; - Swift', 'presto.r.02': 'at a very fast tempo (faster than allegro)'}"
45829,incredibly,0.2228336981252399,2825393,2.1783452375852274e-05,True,True,english,0.99353546,True,2,"(-0.263, 0.263]",neutral,"{'incredibly.r.01': 'not easy to believe', 'fabulously.r.01': 'exceedingly; extremely'}"
28267,wending,-0.1665720159523716,20153,1.553772929042264e-07,True,True,english,0.66812164,True,1,"(-0.263, 0.263]",neutral,"{'wend.v.01': ""direct one's course or way""}"
46341,objectivism,0.2372782351233932,32809,2.529535852178218e-07,True,True,english,0.79593265,True,0,"(-0.263, 0.263]",neutral,{}
28403,carriages,-0.1636630458340005,320469,2.470778825967574e-06,True,True,english,0.7047277,True,5,"(-0.263, 0.263]",neutral,"{'passenger_car.n.01': 'a railcar where passengers ride', 'carriage.n.02': 'a vehicle with wheels drawn by one or more horses', 'carriage.n.03': ""characteristic way of bearing one's body"", 'carriage.n.04': 'a machine part that carries something else', 'baby_buggy.n.01': 'a small vehicle with four wheels in which a baby or child is pushed around'}"
30795,truckle,-0.11419175236703749,6252,4.820219497033808e-08,True,True,english,0.71997863,True,3,"(-0.263, 0.263]",neutral,"{'trundle_bed.n.01': 'a low bed to be slid under a higher bed', 'truckle.v.01': 'yield to out of weakness', 'fawn.v.02': 'try to gain favor by cringing or flattering'}"
40387,allopathic,0.08867328828133793,38751,2.9876571613812714e-07,True,True,english,0.36549947,False,1,"(-0.263, 0.263]",neutral,{'allopathic.a.01': 'of or relating to the practice of allopathy'}
38721,crowning,0.05121053987172308,159503,1.2297496328141131e-06,True,True,english,0.63070047,True,6,"(-0.263, 0.263]",neutral,"{'crown.v.01': 'invest with regal power; enthrone', 'crown.v.02': 'be the culminating event', 'crown.v.03': 'form the topmost part of', 'crown.v.04': 'put an enamel cover on', 'crowning.s.01': 'representing a level of the highest possible achievement or attainment', 'crowning.s.02': 'forming or providing a crown or summit'}"
27232,formidable,-0.1884470844648236,793245,6.115826959252372e-06,True,True,['__label__fr'],0.24442267,False,2,"(-0.263, 0.263]",neutral,"{'formidable.s.01': 'extremely impressive in strength or excellence', 'formidable.s.02': 'inspiring fear; ; - G.H.Johnston'}"
39641,cancelation,0.07094197405001895,57144,4.405736131453934e-07,True,True,english,0.62604964,True,0,"(-0.263, 0.263]",neutral,{}
25592,grisly,-0.22282644697304144,132526,1.0217600912730365e-06,True,True,english,0.29160473,False,1,"(-0.263, 0.263]",neutral,{'ghastly.s.01': 'shockingly repellent; inspiring horror'}
43879,shakier,0.1722141437992386,9371,7.224932326728058e-08,True,True,['__label__fi'],0.3610056,False,3,"(-0.263, 0.263]",neutral,"{'rickety.s.01': 'inclined to shake as from weakness or defect', 'shaky.s.02': 'vibrating slightly and irregularly; as e.g. with fear or cold or like the leaves of an aspen in a breeze', 'precarious.s.03': 'not secure; beset with difficulties'}"
44209,pester,0.18040196657545637,51922,4.003125987283899e-07,True,True,english,0.20758721,False,1,"(-0.263, 0.263]",neutral,{'tease.v.01': 'annoy persistently'}
42112,inanimate,0.12924749090968812,188109,1.4502985754439102e-06,True,True,english,0.46230167,False,3,"(-0.263, 0.263]",neutral,"{'inanimate.a.01': 'belonging to the class of nouns denoting nonliving things', 'inanimate.a.02': 'not endowed with life', 'breathless.s.03': 'appearing dead; not breathing or having no perceptible pulse'}"
46321,slicing,0.23660605158669235,435388,3.3567909890827827e-06,True,True,english,0.44307575,False,6,"(-0.263, 0.263]",neutral,"{'slice.n.04': 'a golf shot that curves to the right for a right-handed golfer', 'slicing.n.02': 'the act of cutting into slices', 'slit.v.01': 'make a clean cut through', 'slice.v.02': 'hit a ball and put a spin on it so that it travels in a different direction', 'slice.v.03': 'cut into slices', 'slice.v.04': 'hit a ball so that it causes a backspin'}"
33111,parasite,-0.06770739040223295,1539510,1.1869443566664296e-05,True,True,['__label__tr'],0.13650149,False,2,"(-0.263, 0.263]",neutral,"{'parasite.n.01': 'an animal or plant that lives in or on a host (another animal or plant); it obtains nourishment from the host without benefiting or killing the host', 'leech.n.02': 'a follower who hangs around a host (without benefit to the host) in hope of gain or advantage'}"
37992,transformed,0.035938308563396526,3890889,2.9998302972799707e-05,True,True,english,0.7021494,True,8,"(-0.263, 0.263]",neutral,"{'transform.v.01': 'subject to a mathematical transformation', 'transform.v.02': 'change or alter in form, appearance, or nature', 'transform.v.03': 'change in outward structure or looks', 'translate.v.02': 'change from one form or medium into another', 'transform.v.05': 'convert (one form of energy) to another', 'transform.v.06': 'change (a bacterial cell) into a genetically distinct cell by the introduction of DNA from another cell of the same or closely related species', 'transform.v.07': 'increase or decrease (an alternating current or voltage)', 'transformed.s.01': 'given a completely different form or appearance'}"
36081,revelled,-0.005401582408167904,29848,2.3012461859799281e-07,True,True,english,0.82869315,True,2,"(-0.263, 0.263]",neutral,"{'delight.v.02': 'take delight in', 'revel.v.02': 'celebrate noisily, often indulging in drinking; engage in uproarious festivities'}"
47175,elf,0.26166323997267993,807083,6.222516334492221e-06,True,True,['__label__sv'],0.56864077,False,2,"(-0.263, 0.263]",neutral,"{'elf.n.01': '(folklore) fairies that are somewhat mischievous', 'extremely_low_frequency.n.01': 'below 3 kilohertz'}"
36542,stringing,0.004806580240302116,84998,6.553247229828529e-07,True,True,english,0.35596046,False,7,"(-0.263, 0.263]",neutral,"{'string.v.01': 'thread on or as if on a string', 'string.v.02': 'add as if on a string', 'string.v.03': 'move or come along', 'string.v.04': 'stretch out or arrange like a string', 'string.v.05': 'string together; tie or fasten with a string', 'string.v.06': 'remove the stringy parts of', 'string.v.07': 'provide with strings'}"
29998,spiel,-0.13081392567925065,140759,1.0852355665114873e-06,True,True,['__label__de'],0.9994468,False,3,"(-0.263, 0.263]",neutral,"{'spiel.n.01': 'plausible glib talk (especially useful to a salesperson)', 'play.v.06': 'replay (as a melody)', 'spiel.v.02': 'speak at great length (about something)'}"
30193,nimble,-0.126751139578287,215241,1.659483149010003e-06,True,True,english,0.4373711,False,2,"(-0.263, 0.263]",neutral,"{'agile.s.01': 'moving quickly and lightly', 'agile.s.02': 'mentally quick'}"
43246,cavities,0.1579974641589883,733290,5.6535808620920045e-06,True,True,english,0.92696214,True,4,"(-0.263, 0.263]",neutral,"{'pit.n.01': 'a sizeable hole (usually in the ground)', 'cavity.n.02': 'space that is surrounded by something', 'cavity.n.03': 'soft decayed area in a tooth; progressive decay can lead to the death of a tooth', 'cavity.n.04': '(anatomy) a natural hollow or sinus within the body'}"
47030,friendships,0.25724308543317465,511120,3.940675926621753e-06,True,True,english,0.5403551,True,1,"(-0.263, 0.263]",neutral,{'friendship.n.01': 'the state of being friends (or friendly)'}
24078,surrenders,-0.25600722875738713,70890,5.465536790542653e-07,True,True,english,0.57046854,True,6,"(-0.263, 0.263]",neutral,"{'resignation.n.01': 'acceptance of despair', 'giving_up.n.01': 'a verbal act of admitting defeat', 'surrender.n.03': 'the delivery of a principal into lawful custody', 'capitulation.n.03': 'the act of surrendering (usually under agreed conditions)', 'surrender.v.01': 'give up or agree to forgo to the power or possession of another', 'surrender.v.02': 'relinquish possession or control over'}"
30532,turbid,-0.11943793827791896,75607,5.82921202034925e-07,True,True,english,0.39961794,False,1,"(-0.263, 0.263]",neutral,{'cloudy.s.03': '(of liquids) clouded as with sediment'}
38416,expressions,0.04426175067513555,4424391,3.4111541523833824e-05,True,True,english,0.5323836,True,9,"(-0.263, 0.263]",neutral,"{'expression.n.01': ""the feelings expressed on a person's face"", 'expression.n.02': 'expression without words', 'expression.n.03': 'the communication (in speech or writing) of your beliefs or opinions', 'saying.n.01': 'a word or phrase that particular people use in particular situations', 'formulation.n.03': 'the style of expressing yourself', 'formula.n.01': 'a group of symbols that make a mathematical statement', 'expression.n.07': '(genetics) the process of expressing a gene', 'construction.n.02': 'a group of words that form a constituent of a sentence and are considered as a single unit', 'expression.n.09': 'the act of forcing something out by squeezing or pressing'}"
26754,fruits,-0.1980831762132405,2525344,1.9470109381825566e-05,True,True,english,0.43107337,False,5,"(-0.263, 0.263]",neutral,"{'fruit.n.01': 'the ripened reproductive body of a seed plant', 'yield.n.03': 'an amount of a product', 'fruit.n.03': 'the consequence of some effort or action', 'fruit.v.01': 'cause to bear fruit', 'fruit.v.02': 'bear fruit'}"
28812,wale,-0.15547728537982175,40658,3.134684649878448e-07,True,True,english,0.75096023,True,2,"(-0.263, 0.263]",neutral,"{'wale.n.01': 'a raised mark on the skin (as produced by the blow of a whip); characteristic of many allergic reactions', 'wale.n.02': 'thick plank forming a ridge along the side of a wooden ship'}"
35329,waylay,-0.022238484170689077,11101,8.558742264326983e-08,True,True,english,0.2612757,False,1,"(-0.263, 0.263]",neutral,{'ambush.v.01': 'wait in hiding to attack'}
35722,stacks,-0.013338535594071499,1013175,7.811461754490128e-06,True,True,english,0.63756186,True,10,"(-0.263, 0.263]",neutral,"{'tons.n.01': 'a large number or amount', 'stacks.n.02': 'storage space in a library consisting of an extensive arrangement of bookshelves where most of the books are stored', 'stack.n.01': 'an orderly pile', 'batch.n.02': ""(often followed by `of') a large number or amount or extent"", 'push-down_list.n.01': 'a list in which the next item to be removed is the item most recently stored (LIFO)', 'smokestack.n.01': 'a large tall chimney through which combustion gases and smoke can be evacuated', 'push-down_storage.n.01': 'a storage device that handles data so that the next item to be retrieved is the item most recently stored (LIFO)', 'stack.v.01': 'load or cover with stacks', 'stack.v.02': 'arrange in stacks', 'stack.v.03': ""arrange the order of so as to increase one's winning chances""}"
39064,miniaturist,0.05852477318625127,7796,6.010625591630769e-08,True,True,['__label__eu'],0.3121035,False,1,"(-0.263, 0.263]",neutral,{'miniaturist.n.01': 'someone who paints tiny pictures in great detail'}
31208,undefiled,-0.10622705071947691,18895,1.456782587915128e-07,True,True,english,0.7263752,True,2,"(-0.263, 0.263]",neutral,"{'immaculate.s.02': 'free from stain or blemish', 'uncorrupted.s.01': '(of language) not having its purity or excellence debased; ; - Van Wyck Brooks'}"
